call,discharge,Fs,Foil,Fg,pressure,Fw,yield,max_conc
0,1.0185689236450037,1.0688531497162037,1.0715891235245514,1.0694503477568251,1.0247127393571946,0.9768763414585401,1581.455620986165,14.084530308033354
1,0.9595069213088945,0.9113425954634886,0.9545312589160226,0.9955330234642701,1.0624337457550987,0.9959954344750115,1543.1496656061188,14.642939489883277
2,0.9785569592201661,1.0672157527074757,0.9674792320834538,1.0296343744102394,0.9736483079681096,1.0914310317906093,1570.5514716386108,13.573750312665586
3,0.9280701560825291,1.0740174516716874,0.9947216090547422,1.060182150395929,1.004095495910241,1.035775906023792,1473.129930028329,12.97357536393088
4,1.0441265309451835,1.0164039584150215,1.0074746458898023,1.0517231248644716,0.9211815214375585,0.9947200838693315,1552.7436668415883,14.597791721625727
5,0.937266468665352,1.0473836354257917,0.9433100708848744,0.9270436346810904,0.9648282015586429,0.9299349734367367,1363.5100490732789,12.505519090237433
6,0.9444642776503176,0.9772977962251724,1.080519695105881,0.9899899979822456,1.0226126915768265,1.080469716634797,1668.3994696060952,14.728606791306968
7,0.9198560700717948,1.0939618135493498,1.0306280071595877,0.9341819170272091,0.9716304333939051,1.0501372282436914,1606.5648823815745,13.649015037501568
8,1.0215661337430937,0.9650094458016706,0.907685085294547,1.026854811591467,1.0917898537249042,1.0305580634010982,1443.2189443305422,13.425291621582232
9,1.0270117747207128,1.0990599135355776,1.016370065887707,0.9828737176452739,0.9949395004576826,1.0247020202263737,757.463179589837,7.593356478057953
10,0.9542045293254179,0.9761925891727394,1.0787373333999346,0.9237358921274929,1.037592071416909,1.0795787267273782,955.7519196036613,9.984348805897712
11,0.9,1.1,0.9,0.9762285990411249,0.9,0.9,1579.8675843804021,14.502535796200862
12,0.9365652697460461,1.0003146151501559,1.0086770985436295,0.9900858256133444,0.9984006620463725,1.022714096467335,1401.9721194829503,12.261559006049081
13,0.9806879465845595,0.9213918261611771,1.046576708662519,1.0581514203250313,0.9843610180043811,1.078185848134871,1513.7465475859365,13.618892647727476
