final_P,max_Wt,wt_overflow,paa_frac_out_of_band,max_viscosity,visc_exceed,yield_kg,yield_gated,pivot_h,pivot_step,pivot_crossed,bm_max,bm_at_pivot,pivot_bm_threshold,arm,seed,starve_decisions,delay_h,handover_h,recipe_yield,recipe_yield_gated,recipe_pivot_h,delta_yield,delta_yield_gated
29.38830418602764,107414.67864153576,False,0.0113043478260869,84.51551373013606,False,3888.467721127781,3888.467721127781,70.0,14,1,2473.6987000627014,1375.9725304626668,1349.0,dual,700000,0,0.0,0.0,3467.3289022648246,3467.3289022648246,60.0,421.13881886295576,421.13881886295576
29.14983658170652,110147.70123795104,False,0.0113043478260869,85.88408265044282,False,3928.82405166702,3928.82405166702,55.0,11,1,2433.0952466014724,1387.6065056239397,1349.0,time,700000,0,0.0,0.0,3467.3289022648246,3467.3289022648246,60.0,461.4951494021957,461.4951494021957
27.42436022002872,101050.05177061734,False,0.0113043478260869,81.00704843484101,False,3467.3289022648246,3467.3289022648246,60.0,12,1,2310.7763990463927,1449.078166406942,1349.0,recipe,700000,0,0.0,0.0,3467.3289022648246,3467.3289022648246,60.0,0.0,0.0
30.72532229159132,112096.93950267964,False,0.0191304347826086,75.94891386814709,False,4141.975157290517,4141.975157290517,80.0,16,1,2347.9659474350424,1427.9598074349656,1349.0,dual,700001,0,0.0,0.0,3573.899210686851,3573.899210686851,65.0,568.0759466036661,568.0759466036661
29.81680333131186,113255.84119613437,False,0.0191304347826086,76.06177127596811,False,4076.720828274182,4076.720828274182,60.0,12,1,2300.13369732121,1378.5356463142564,1349.0,time,700001,0,0.0,0.0,3573.899210686851,3573.899210686851,65.0,502.8216175873313,502.8216175873313
27.762091426415843,106086.75363604048,False,0.0191304347826086,71.80153943177567,False,3573.899210686851,3573.899210686851,65.0,13,1,1979.6644471735851,1405.839862150003,1349.0,recipe,700001,0,0.0,0.0,3573.899210686851,3573.899210686851,65.0,0.0,0.0
25.110690236442196,101995.92257609896,False,0.0,101.4128630004729,True,3304.604082484547,0.0,70.0,14,1,2985.973165099318,1362.518895306467,1349.0,dual,700002,0,0.0,0.0,3696.618223286552,3696.618223286552,60.0,-392.0141408020054,-3696.618223286552
25.831975672435952,105049.01906199096,False,0.0,98.2651879549562,False,3456.767520363879,3456.767520363879,55.0,11,1,2856.3582989931974,1390.9706968477092,1349.0,time,700002,0,0.0,0.0,3696.618223286552,3696.618223286552,60.0,-239.850702922673,-239.850702922673
30.024651063371778,98603.65744597216,False,0.0,89.91661436648259,False,3696.618223286552,3696.618223286552,60.0,12,1,2583.8778848752772,1434.173044171738,1349.0,recipe,700002,0,0.0,0.0,3696.618223286552,3696.618223286552,60.0,0.0,0.0
29.455518883279993,112096.9178163458,False,0.0208695652173913,79.89559888489423,False,4006.392320780568,4006.392320780568,80.0,16,1,2528.291595302601,1460.80238457229,1349.0,dual,700003,0,0.0,0.0,3526.588600149422,3526.588600149422,70.0,479.803720631146,479.803720631146
