family,run,episode,dt_dec,n_steps,n_bad_steps,hours_bad,n_tr,n_bad_tr,bad_tr_phase1,bad_tr_phase2,n_tr_phase1,n_tr_phase2,first_bad_h,final_P
dual_phase,dual_phase/seed3_1,7,5.111111111111111,1150,27,5.4,44,3,2,1,17,27,76.2,33.941975528300496
dual_phase,dual_phase/seed3_1,8,5.111111111111111,1150,63,12.600000000000001,44,7,0,7,17,27,127.60000000000001,28.9419584505622
dual_phase,dual_phase/seed3_1,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,28.49440826655348
dual_phase,dual_phase/seed3_100,0,5.111111111111111,1150,57,11.4,44,5,0,5,17,27,182.0,23.94821094228283
dual_phase,dual_phase/seed3_100,1,5.111111111111111,1150,56,11.200000000000001,44,4,0,4,17,27,166.4,23.394272399886876
dual_phase,dual_phase/seed3_100,2,5.111111111111111,1150,18,3.6,44,3,0,3,17,27,180.4,27.126579282194857
dual_phase,dual_phase/seed3_100,3,5.111111111111111,1150,48,9.600000000000001,44,3,0,3,17,27,180.4,22.023274207110717
dual_phase,dual_phase/seed3_100,4,5.111111111111111,1150,87,17.400000000000002,44,6,5,1,17,27,60.400000000000006,23.754062708301188
dual_phase,dual_phase/seed3_100,5,5.111111111111111,1150,74,14.8,44,7,1,6,17,27,84.4,27.347168758170504
dual_phase,dual_phase/seed3_100,6,5.111111111111111,1150,613,122.60000000000001,44,25,2,23,17,27,80.2,6.681953373755091
dual_phase,dual_phase/seed3_100,7,5.111111111111111,1150,135,27.0,44,9,4,5,17,27,32.2,29.401238588715646
dual_phase,dual_phase/seed3_100,8,5.111111111111111,1150,31,6.2,44,2,0,2,17,27,160.20000000000002,29.739879810679568
dual_phase,dual_phase/seed3_100,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,27.48789158981988
dual_phase,dual_phase/seed3_2,0,5.111111111111111,1150,57,11.4,44,5,0,5,17,27,182.0,23.94821094228283
dual_phase,dual_phase/seed3_2,1,5.111111111111111,1150,56,11.200000000000001,44,4,0,4,17,27,166.4,23.394272399886876
dual_phase,dual_phase/seed3_2,2,5.111111111111111,1150,18,3.6,44,3,0,3,17,27,180.4,27.126579282194857
dual_phase,dual_phase/seed3_2,3,5.111111111111111,1150,48,9.600000000000001,44,3,0,3,17,27,180.4,22.023274207110717
dual_phase,dual_phase/seed3_2,4,5.111111111111111,1150,87,17.400000000000002,44,6,5,1,17,27,60.400000000000006,23.754062708301188
dual_phase,dual_phase/seed3_2,5,5.111111111111111,1150,15,3.0,44,4,0,4,17,27,152.0,23.818921630128834
dual_phase,dual_phase/seed3_2,6,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,26.240917122614896
dual_phase,dual_phase/seed3_2,7,5.111111111111111,1150,1,0.2,44,1,0,1,17,27,213.20000000000002,31.842898501982845
dual_phase,dual_phase/seed3_2,8,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,28.202148455670027
dual_phase,dual_phase/seed3_2,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,26.587542878807362
dual_phase,dual_phase/seed3_4,0,5.111111111111111,1150,57,11.4,44,5,0,5,17,27,182.0,23.94821094228283
dual_phase,dual_phase/seed3_4,1,5.111111111111111,1150,56,11.200000000000001,44,4,0,4,17,27,166.4,23.394272399886876
dual_phase,dual_phase/seed3_4,2,5.111111111111111,1150,18,3.6,44,3,0,3,17,27,180.4,27.126579282194857
dual_phase,dual_phase/seed3_4,3,5.111111111111111,1150,48,9.600000000000001,44,3,0,3,17,27,180.4,22.023274207110717
dual_phase,dual_phase/seed3_4,4,5.111111111111111,1150,87,17.400000000000002,44,6,5,1,17,27,60.400000000000006,23.754062708301188
dual_phase,dual_phase/seed3_4,5,5.111111111111111,1150,598,119.60000000000001,44,25,2,23,17,27,81.2,7.0749303227977745
dual_phase,dual_phase/seed3_4,6,5.111111111111111,1150,23,4.6000000000000005,44,2,0,2,17,27,160.4,26.146294859859598
dual_phase,dual_phase/seed3_4,7,5.111111111111111,1150,11,2.2,44,2,1,1,17,27,87.2,33.436646192215896
dual_phase,dual_phase/seed3_4,8,5.111111111111111,1150,15,3.0,44,3,0,3,17,27,128.0,29.029120971039966
dual_phase,dual_phase/seed3_4,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,27.776527917161136
dual_phase,dual_phase/seed3_5,0,5.111111111111111,1150,57,11.4,44,5,0,5,17,27,182.0,23.94821094228283
dual_phase,dual_phase/seed3_5,1,5.111111111111111,1150,56,11.200000000000001,44,4,0,4,17,27,166.4,23.394272399886876
dual_phase,dual_phase/seed3_5,2,5.111111111111111,1150,18,3.6,44,3,0,3,17,27,180.4,27.126579282194857
dual_phase,dual_phase/seed3_5,3,5.111111111111111,1150,48,9.600000000000001,44,3,0,3,17,27,180.4,22.023274207110717
dual_phase,dual_phase/seed3_5,4,5.111111111111111,1150,87,17.400000000000002,44,6,5,1,17,27,60.400000000000006,23.754062708301188
dual_phase,dual_phase/seed3_5,5,5.111111111111111,1150,180,36.0,44,13,1,12,17,27,83.80000000000001,23.780640765779683
dual_phase,dual_phase/seed3_5,6,5.111111111111111,1150,127,25.400000000000002,44,7,2,5,17,27,80.0,24.34709659332746
dual_phase,dual_phase/seed3_5,7,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,35.81831905244109
dual_phase,dual_phase/seed3_5,8,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,30.401834641057636
dual_phase,dual_phase/seed3_5,9,5.111111111111111,1150,2,0.4,44,1,0,1,17,27,160.20000000000002,28.834832669911705
dual_phase,dual_phase/seed3_6,0,5.111111111111111,1150,57,11.4,44,5,0,5,17,27,182.0,23.94821094228283
dual_phase,dual_phase/seed3_6,1,5.111111111111111,1150,56,11.200000000000001,44,4,0,4,17,27,166.4,23.394272399886876
dual_phase,dual_phase/seed3_6,2,5.111111111111111,1150,18,3.6,44,3,0,3,17,27,180.4,27.126579282194857
dual_phase,dual_phase/seed3_6,3,5.111111111111111,1150,48,9.600000000000001,44,3,0,3,17,27,180.4,22.023274207110717
dual_phase,dual_phase/seed3_6,4,5.111111111111111,1150,87,17.400000000000002,44,6,5,1,17,27,60.400000000000006,23.754062708301188
dual_phase,dual_phase/seed3_6,5,5.111111111111111,1150,46,9.200000000000001,44,5,1,4,17,27,86.2,28.285448768028726
dual_phase,dual_phase/seed3_6,6,5.111111111111111,1150,34,6.800000000000001,44,2,1,1,17,27,83.4,26.836072694251197
dual_phase,dual_phase/seed3_6,7,5.111111111111111,1150,60,12.0,44,6,2,4,17,27,82.4,33.02456030092935
dual_phase,dual_phase/seed3_6,8,5.111111111111111,1150,125,25.0,44,8,2,6,17,27,80.0,27.29058243821589
dual_phase,dual_phase/seed3_6,9,5.111111111111111,1150,162,32.4,44,8,4,4,17,27,70.60000000000001,27.47301913718344
dual_phase,dual_phase/seed3_7,0,5.111111111111111,1150,57,11.4,44,5,0,5,17,27,182.0,23.94821094228283
dual_phase,dual_phase/seed3_7,1,5.111111111111111,1150,56,11.200000000000001,44,4,0,4,17,27,166.4,23.394272399886876
dual_phase,dual_phase/seed3_7,2,5.111111111111111,1150,18,3.6,44,3,0,3,17,27,180.4,27.126579282194857
