seed,starve_decisions,dual_minus_time,delay_h
700000,0,78.9419893440454,0
700001,0,238.20809612974017,0
700003,0,120.55868836280797,0
700004,0,127.50513661302239,0
700006,0,-408.0270786406563,0
700007,0,55.79428683178327,0
700008,0,176.14965540335288,0
700009,0,138.97885099021238,0
700000,4,84.1884798812539,20
700001,4,223.61768189885242,20
700003,4,105.91621164937987,20
700004,4,137.02853711928856,20
700006,4,-392.6275463659031,20
700007,4,69.0662210335754,20
700008,4,163.5273351958799,20
700009,4,126.40676180509263,20
700000,8,85.10271941742894,40
700001,8,193.3014835686081,40
700003,8,91.39619284645414,40
700004,8,136.05859880154094,40
700006,8,-154.7963095270443,40
700007,8,67.09059107670555,40
700008,8,148.69965137880172,40
700009,8,114.02393751344152,40
700000,12,69.98825109414975,60
700001,12,161.41974663420888,60
700003,12,69.80889783473049,60
700004,12,120.79380208081102,60
700006,12,-66.89666584444421,60
700007,12,54.6813358946265,60
700008,12,134.29464421858574,60
700009,12,97.31481231609445,60
700000,16,81.50717414734072,80
700001,16,176.35431547268945,80
700003,16,61.34489663124168,80
700004,16,126.76919090649471,80
700006,16,-49.28580496127415,80
700007,16,56.28123840590433,80
700008,16,155.7172223230782,80
700009,16,118.42356214105303,80
