delay_h,n_seeds,dual_yield,dual_gated,dual_violations,time_yield,time_gated,time_violations,recipe_yield,recipe_gated,recipe_violations,dual_minus_time,p_raw,dual_minus_time_gated,p_gated
0.0,10,3744.0175281252004,3233.972026228917,2,4016.2086511054213,4016.2086511054213,0,3563.451222825798,3563.451222825798,0,-272.1911229802204,0.2847968951164235,-782.2366248765045,0.20833959717209471
20.0,10,3827.229298810061,3559.2179296538498,1,3978.285717044865,3978.285717044865,0,3519.9318575647244,3519.9318575647244,0,-151.05641823480414,0.3567126229162995,-419.0677873910157,0.28696506981091924
40.0,10,3815.867966096697,3504.134920431992,1,3889.8573510384495,3889.8573510384495,0,3423.8324289717784,3423.8324289717784,0,-73.98938494175191,0.5431254811467187,-385.72243060645616,0.32350387058779506
60.0,10,3834.9809655333875,3511.162488177267,1,3833.0055827443784,3833.0055827443784,0,3361.4126101916927,3361.4126101916927,0,1.9753827890090634,0.972983286939163,-321.8430945671115,0.3868060689104348
80.0,10,3798.5185943689758,3798.5185943689758,0,3757.0153831624107,3757.0153831624107,0,3291.093637486751,3291.093637486751,0,41.5032112065659,0.3114138332593194,41.5032112065659,0.3114138332593194
