final_P,max_Wt,wt_overflow,paa_frac_out_of_band,max_viscosity,visc_exceed,yield_kg,yield_gated,pivot_h,pivot_step,pivot_crossed,bm_max,bm_at_pivot,pivot_bm_threshold,arm,seed,starve_decisions,delay_h,handover_h,recipe_yield,recipe_yield_gated,recipe_pivot_h,delta_yield,delta_yield_gated
29.821086305254287,109990.151263463,False,0.0113043478260869,86.55931566356229,False,4035.7781287012544,4035.7781287012544,60.0,12,1,2617.656046398649,1449.078166406942,1349.0,dual,700000,0,0.0,80.0,3467.3289022648246,3467.3289022648246,60.0,568.4492264364299,568.4492264364299
29.423405094007183,109600.17903141028,False,0.0113043478260869,83.88859713647524,False,3956.836139357209,3956.836139357209,60.0,12,1,2434.8488909950574,1449.078166406942,1349.0,time,700000,0,0.0,80.0,3467.3289022648246,3467.3289022648246,60.0,489.50723709238446,489.50723709238446
27.42436022002872,101050.05177061734,False,0.0113043478260869,81.00704843484101,False,3467.3289022648246,3467.3289022648246,60.0,12,1,2310.7763990463927,1449.078166406942,1349.0,recipe,700000,0,0.0,80.0,3467.3289022648246,3467.3289022648246,60.0,0.0,0.0
31.06409177326583,114589.10511601028,False,0.0191304347826086,77.32265342791221,False,4279.979397387626,4279.979397387626,65.0,13,1,2400.177511787417,1405.839862150003,1349.0,dual,700001,0,0.0,80.0,3573.899210686851,3573.899210686851,65.0,706.0801867007749,706.0801867007749
29.82191750605357,112208.99498668392,False,0.0191304347826086,74.54394304634089,False,4041.7713012578856,4041.7713012578856,65.0,13,1,2279.095383300643,1405.839862150003,1349.0,time,700001,0,0.0,80.0,3573.899210686851,3573.899210686851,65.0,467.87209057103473,467.87209057103473
27.762091426415843,106086.75363604048,False,0.0191304347826086,71.80153943177567,False,3573.899210686851,3573.899210686851,65.0,13,1,1979.6644471735851,1405.839862150003,1349.0,recipe,700001,0,0.0,80.0,3573.899210686851,3573.899210686851,65.0,0.0,0.0
9.50184657274994,102870.1527867128,False,0.0,158.16405538962326,True,1484.3214759087607,0.0,60.0,12,1,3428.9575740647647,1434.173044171738,1349.0,dual,700002,0,0.0,80.0,3696.618223286552,3696.618223286552,60.0,-2212.2967473777917,-3696.618223286552
26.04592193201534,104677.43546185632,False,0.0,95.8217275480215,False,3497.44967903667,3497.44967903667,60.0,12,1,2874.393263758466,1434.173044171738,1349.0,time,700002,0,0.0,80.0,3696.618223286552,3696.618223286552,60.0,-199.16854424988196,-199.16854424988196
30.024651063371778,98603.65744597216,False,0.0,89.91661436648259,False,3696.618223286552,3696.618223286552,60.0,12,1,2583.8778848752772,1434.173044171738,1349.0,recipe,700002,0,0.0,80.0,3696.618223286552,3696.618223286552,60.0,0.0,0.0
30.010231415739856,114496.1269156568,False,0.0208695652173913,81.21901572816888,False,4173.255199187057,4173.255199187057,70.0,14,1,2568.784409413149,1434.2983555609562,1349.0,dual,700003,0,0.0,80.0,3526.588600149422,3526.588600149422,70.0,646.666599037635,646.666599037635
29.441500160793844,112974.4486345966,False,0.0208695652173913,78.24388113389612,False,4052.696510824249,4052.696510824249,70.0,14,1,2344.116279574986,1434.2983555609562,1349.0,time,700003,0,0.0,80.0,3526.588600149422,3526.588600149422,70.0,526.107910674827,526.107910674827
27.10831423185003,105621.70048911477,False,0.0208695652173913,75.30629936212308,False,3526.588600149422,3526.588600149422,70.0,14,1,2123.1073663015914,1434.2983555609562,1349.0,recipe,700003,0,0.0,80.0,3526.588600149422,3526.588600149422,70.0,0.0,0.0
27.14055902808602,112389.26217662204,False,0.0243478260869565,85.20490152478845,False,3758.8654205493417,3758.8654205493417,60.0,12,1,2545.949522227758,1452.2556362235573,1349.0,dual,700004,0,0.0,80.0,3214.506606757298,3214.506606757298,60.0,544.3588137920433,544.3588137920433
26.488186362526378,110985.48266572204,False,0.0243478260869565,82.50510108575762,False,3631.360283936319,3631.360283936319,60.0,12,1,2363.1769655534,1452.2556362235573,1349.0,time,700004,0,0.0,80.0,3214.506606757298,3214.506606757298,60.0,416.8536771790209,416.8536771790209
24.884471973163777,101732.67230395623,False,0.0243478260869565,79.89406626194167,False,3214.506606757298,3214.506606757298,60.0,12,1,2266.5548742356946,1452.2556362235573,1349.0,recipe,700004,0,0.0,80.0,3214.506606757298,3214.506606757298,60.0,0.0,0.0
26.826241304927414,106343.28428329952,False,0.0,100.7379395341946,True,3616.1335430540794,0.0,60.0,12,1,3010.776037789738,1401.3419217344892,1349.0,dual,700005,0,0.0,80.0,4121.9948707395,4121.9948707395,60.0,-505.8613276854203,-4121.9948707395
36.51702602607172,108928.23130091336,False,0.0,87.68135918862872,False,4853.026194762682,4853.026194762682,60.0,12,1,2707.6404150648473,1401.3419217344892,1349.0,time,700005,0,0.0,80.0,4121.9948707395,4121.9948707395,60.0,731.0313240231826,731.0313240231826
33.18652714981361,100767.7559106649,False,0.0,83.83103906736609,False,4121.9948707395,4121.9948707395,60.0,12,1,2389.317858804886,1401.3419217344892,1349.0,recipe,700005,0,0.0,80.0,4121.9948707395,4121.9948707395,60.0,0.0,0.0
31.357365508351386,108369.76468264117,False,0.0,93.11648092272937,False,4259.031426632483,4259.031426632483,60.0,12,1,2854.725684157564,1439.7226012497845,1349.0,dual,700006,0,0.0,80.0,3985.758208739089,3985.758208739089,60.0,273.2732178933943,273.2732178933943
34.04800138134423,109570.04503978437,False,0.0,86.18413319558083,False,4667.058505273139,4667.058505273139,60.0,12,1,2580.21558622293,1439.7226012497845,1349.0,time,700006,0,0.0,80.0,3985.758208739089,3985.758208739089,60.0,681.3002965340506,681.3002965340506
31.1440283658792,99823.13530702546,False,0.0,82.29434770919002,False,3985.758208739089,3985.758208739089,60.0,12,1,2356.3941132914993,1439.7226012497845,1349.0,recipe,700006,0,0.0,80.0,3985.758208739089,3985.758208739089,60.0,0.0,0.0
28.086594924233548,111019.9594167218,False,0.0,85.99727886334999,False,3882.586360110244,3882.586360110244,60.0,12,1,2602.215661655941,1456.2933695393035,1349.0,dual,700007,0,0.0,80.0,3355.199306841784,3355.199306841784,60.0,527.3870532684596,527.3870532684596
27.91297214243577,110337.8633940624,False,0.0,83.25390309870095,False,3826.792073278461,3826.792073278461,60.0,12,1,2407.3974047616057,1456.2933695393035,1349.0,time,700007,0,0.0,80.0,3355.199306841784,3355.199306841784,60.0,471.5927664366763,471.5927664366763
25.989071387290664,101047.04168631122,False,0.0,80.1896788137798,False,3355.199306841784,3355.199306841784,60.0,12,1,2295.6254823730483,1456.2933695393035,1349.0,recipe,700007,0,0.0,80.0,3355.199306841784,3355.199306841784,60.0,0.0,0.0
27.652686586623208,115523.39603705487,False,0.0243478260869565,79.5732071662193,False,3929.753159180236,3929.753159180236,70.0,14,1,2427.4895024625034,1430.8076200246944,1349.0,dual,700008,0,0.0,80.0,3303.8279953739193,3303.8279953739193,70.0,625.925163806317,625.925163806317
26.827819294013413,112966.63479495104,False,0.0243478260869565,76.93631452870984,False,3753.6035037768834,3753.6035037768834,70.0,14,1,2220.6311005434277,1430.8076200246944,1349.0,time,700008,0,0.0,80.0,3303.8279953739193,3303.8279953739193,70.0,449.7755084029641,449.7755084029641
24.982933610943867,104449.34618458764,False,0.0243478260869565,74.08506407948053,False,3303.8279953739193,3303.8279953739193,70.0,14,1,2073.5795271690095,1430.8076200246944,1349.0,recipe,700008,0,0.0,80.0,3303.8279953739193,3303.8279953739193,70.0,0.0,0.0
28.29744937604902,116075.55151805596,False,0.0104347826086956,81.22838046068775,False,4020.471170540928,4020.471170540928,65.0,13,1,2544.8070872002795,1364.0850133699123,1349.0,dual,700009,0,0.0,80.0,3388.790303418746,3388.790303418746,65.0,631.6808671221816,631.6808671221816
27.66036747249124,114207.648698481,False,0.0104347826086956,78.54795854994506,False,3881.4923195507154,3881.4923195507154,65.0,13,1,2329.005546895537,1364.0850133699123,1349.0,time,700009,0,0.0,80.0,3388.790303418746,3388.790303418746,65.0,492.7020161319692,492.7020161319692
25.589508146881332,105056.85928179404,False,0.0104347826086956,75.54368530216959,False,3388.790303418746,3388.790303418746,65.0,13,1,2145.3001206945414,1364.0850133699123,1349.0,recipe,700009,0,0.0,80.0,3388.790303418746,3388.790303418746,65.0,0.0,0.0
29.72947274416617,109183.58077240209,False,0.0121739130434782,85.99588879662693,False,3991.175590617415,3991.175590617415,60.0,12,1,2595.2232159589835,1405.9795643012424,1349.0,dual,700000,4,20.0,80.0,3402.5927229375257,3402.5927229375257,60.0,588.5828676798892,588.5828676798892
29.31495081638281,108688.00262077151,False,0.0121739130434782,83.46418038542572,False,3906.987110736161,3906.987110736161,60.0,12,1,2424.2403429383307,1405.9795643012424,1349.0,time,700000,4,20.0,80.0,3402.5927229375257,3402.5927229375257,60.0,504.3943877986353,504.3943877986353
27.202457207064917,100101.22762684226,False,0.0121739130434782,80.82978280949054,False,3402.5927229375257,3402.5927229375257,60.0,12,1,2295.807607067317,1405.9795643012424,1349.0,recipe,700000,4,20.0,80.0,3402.5927229375257,3402.5927229375257,60.0,0.0,0.0
30.919886192110948,113869.41589732522,False,0.02,76.95594030217174,False,4224.6656211515565,4224.6656211515565,65.0,13,1,2396.628011787327,1365.4426244884294,1349.0,dual,700001,4,20.0,80.0,3521.4535595313855,3521.4535595313855,65.0,703.212061620171,703.212061620171
29.757477263029212,111548.5600398583,False,0.02,74.21045742157266,False,4001.047939252704,4001.047939252704,65.0,13,1,2273.4729076528206,1365.4426244884294,1349.0,time,700001,4,20.0,80.0,3521.4535595313855,3521.4535595313855,65.0,479.59437972131855,479.59437972131855
27.598505142471417,105317.79975700896,False,0.02,71.5241959542766,False,3521.4535595313855,3521.4535595313855,65.0,13,1,1966.316256046556,1365.4426244884294,1349.0,recipe,700001,4,20.0,80.0,3521.4535595313855,3521.4535595313855,65.0,0.0,0.0
19.716668270967727,103233.42171742048,False,0.0,115.49290488199316,True,2680.1136915621164,0.0,60.0,12,1,3326.69261050442,1383.0476189730184,1349.0,dual,700002,4,20.0,80.0,3722.6472581933426,3722.6472581933426,60.0,-1042.5335666312262,-3722.6472581933426
26.228412401500098,104233.50805845173,False,0.0,94.68503019214468,False,3520.9724053758896,3520.9724053758896,60.0,12,1,2903.0408299570227,1383.0476189730184,1349.0,time,700002,4,20.0,80.0,3722.6472581933426,3722.6472581933426,60.0,-201.67485281745303,-201.67485281745303
30.286479824553435,98059.2659865448,False,0.0,88.34820900420077,False,3722.6472581933426,3722.6472581933426,60.0,12,1,2586.4600939700017,1383.0476189730184,1349.0,recipe,700002,4,20.0,80.0,3722.6472581933426,3722.6472581933426,60.0,0.0,0.0
29.806872971502063,113642.32484175674,False,0.0217391304347826,80.80149683548139,False,4107.5466517839905,4107.5466517839905,70.0,14,1,2574.531521062877,1399.8932912896798,1349.0,dual,700003,4,20.0,80.0,3473.361916637555,3473.361916637555,70.0,634.1847351464353,634.1847351464353
