model,cost,arch,time_in_gp,pivot_type,protocol,train_seed,eval_seed,delay_h,yield_kg,yield_gated,delta_vs_recipe,delta_gated,recipe_yield_kg,final_P,max_viscosity,visc_exceed,max_Wt,wt_overflow,violation,paa_frac_out_of_band,pivot_h
SP +time,ConcCost,single,+time,-,5 expl,4,700003,20.0,3936.6457599303617,3936.6457599303617,603.153604433172,603.153604433172,3333.4921554971897,29.34010590568848,77.16224288515568,False,111117.85132921312,False,0,0.0217391304347826,75.0
SP -time,ConcCost,single,-time,-,5 expl,4,700003,20.0,3706.5017626901968,3706.5017626901968,373.009607193007,373.009607193007,3333.4921554971897,28.26032366918128,75.35417191386169,False,107515.41797913217,False,0,0.0208695652173913,75.0
SP +time,ConcCost,single,+time,-,5 expl,4,700004,20.0,3491.954037602178,3491.954037602178,471.0688850898109,471.0688850898109,3020.885152512367,26.09902346580999,80.49356532056746,False,109020.05723965852,False,0,0.0243478260869565,65.0
SP -time,ConcCost,single,-time,-,5 expl,4,700004,20.0,3309.239415995856,3309.239415995856,288.3542634834889,288.3542634834889,3020.885152512367,25.33021871620831,78.78378171478732,False,105083.86715238023,False,0,0.0243478260869565,65.0
SP +time,ConcCost,single,+time,-,5 expl,4,700005,20.0,4131.263608020414,4131.263608020414,252.9155665254666,252.9155665254666,3878.348041494947,30.89481886872032,86.0013756686307,False,106834.072485172,False,0,0.0,70.0
SP -time,ConcCost,single,-time,-,5 expl,4,700005,20.0,4410.693105404023,4410.693105404023,532.3450639090761,532.3450639090761,3878.348041494947,34.925548466220185,84.2948254500391,False,103022.27329160176,False,0,0.0,70.0
SP +time,ConcCost,single,+time,-,5 expl,4,700006,20.0,4418.081772094819,4418.081772094819,694.2372244988983,694.2372244988983,3723.8445475959206,33.11126637335235,84.39257868213858,False,107695.85483342044,False,0,0.0,65.0
SP -time,ConcCost,single,-time,-,5 expl,4,700006,20.0,4258.781252497318,4258.781252497318,534.9367049013972,534.9367049013972,3723.8445475959206,32.49875608741712,83.53485908414437,False,104647.64970793037,False,0,0.0,65.0
SP +time,ConcCost,single,+time,-,5 expl,4,700007,20.0,3640.456171810548,3640.456171810548,517.3368550554142,517.3368550554142,3123.1193167551337,27.289958631651864,80.73382475711016,False,108188.38421066431,False,0,0.0,70.0
SP -time,ConcCost,single,-time,-,5 expl,4,700007,20.0,3475.0027189261473,3475.0027189261473,351.8834021710136,351.8834021710136,3123.1193167551337,26.641717518480498,79.72806037336274,False,104531.96314274326,False,0,0.0,65.0
SP +time,ConcCost,single,+time,-,5 expl,4,700008,20.0,3616.481953466463,3616.481953466463,509.2808037824361,509.2808037824361,3107.201149684027,26.533127503493507,76.04977301043667,False,111187.57315130948,False,0,0.0243478260869565,75.0
SP -time,ConcCost,single,-time,-,5 expl,4,700008,20.0,3425.012629998333,3425.012629998333,317.8114803143062,317.8114803143062,3107.201149684027,25.67008336704936,74.45588316353214,False,107692.8651546216,False,0,0.0243478260869565,75.0
SP +time,ConcCost,single,+time,-,5 expl,4,700009,20.0,3742.33342053521,3742.33342053521,551.7150829192096,551.7150829192096,3190.618337616,27.396131878499112,77.4738832971816,False,112164.2331976282,False,0,0.0104347826086956,75.0
SP -time,ConcCost,single,-time,-,5 expl,4,700009,20.0,3541.1625143262972,3541.1625143262972,350.54417671029705,350.54417671029705,3190.618337616,26.514728181702328,75.93001465181787,False,108477.06266392228,False,0,0.0104347826086956,75.0
SP +time,ConcCost,single,+time,-,5 expl,4,700000,40.0,3515.106252571347,3515.106252571347,497.924640465259,497.924640465259,3017.181612106088,28.15448758965356,76.32230786264302,False,103150.69090276762,False,0,0.0121739130434782,90.0
SP -time,ConcCost,single,-time,-,5 expl,4,700000,40.0,3470.0855292674546,3470.0855292674546,452.90391716136673,452.90391716136673,3017.181612106088,27.945677348628912,76.47923123937433,False,101919.11239113715,False,0,0.0113043478260869,85.0
SP +time,ConcCost,single,+time,-,5 expl,4,700001,40.0,3748.8753391373857,3748.8753391373857,531.5363180976115,531.5363180976115,3217.3390210397743,29.65317626265208,69.88788657397828,False,106841.47346593945,False,0,0.0191304347826086,95.0
SP -time,ConcCost,single,-time,-,5 expl,4,700001,40.0,3690.880527069985,3690.880527069985,473.5415060302107,473.5415060302107,3217.3390210397743,29.311685412097873,69.19683896195643,False,105587.72389333836,False,0,0.0191304347826086,95.0
SP +time,ConcCost,single,+time,-,5 expl,4,700002,40.0,3076.0244084761907,3076.0244084761907,-269.01924257753217,-269.01924257753217,3345.043651053723,23.126765052834244,90.82312930648266,False,99768.74885101394,False,0,0.0,90.0
SP -time,ConcCost,single,-time,-,5 expl,4,700002,40.0,3407.2939892262175,3407.2939892262175,62.250338172494594,62.250338172494594,3345.043651053723,26.99478160219668,86.09932337933238,False,97611.12859439677,False,0,0.0,85.0
SP +time,ConcCost,single,+time,-,5 expl,4,700003,40.0,3652.2415201165745,3652.2415201165745,512.9915898800255,512.9915898800255,3139.249930236549,28.555089297680716,74.22257364824726,False,106478.60838341196,False,0,0.0217391304347826,95.0
SP -time,ConcCost,single,-time,-,5 expl,4,700003,40.0,3597.022567905752,3597.022567905752,457.77263766920305,457.77263766920305,3139.249930236549,28.25642479436413,72.98358428632305,False,105149.04024421,False,0,0.0208695652173913,90.0
SP +time,ConcCost,single,+time,-,5 expl,4,700004,40.0,3222.6167771746605,3222.6167771746605,425.26118660155544,425.26118660155544,2797.355590573105,25.302513367372725,73.5707846150383,False,104240.88466516952,False,0,0.0243478260869565,90.0
SP -time,ConcCost,single,-time,-,5 expl,4,700004,40.0,3170.7448841603095,3170.7448841603095,373.3892935872045,373.3892935872045,2797.355590573105,25.062790755549024,74.60380256011834,False,102886.51267332252,False,0,0.0243478260869565,85.0
SP +time,ConcCost,single,+time,-,5 expl,4,700005,40.0,3658.7165026036328,3658.7165026036328,46.50480182201454,46.50480182201454,3612.211700781618,28.36681803950873,83.16386328269779,False,102579.79691547576,False,0,0.0,90.0
SP -time,ConcCost,single,-time,-,5 expl,4,700005,40.0,4179.169100861908,4179.169100861908,566.95740008029,566.95740008029,3612.211700781618,33.96516929226644,82.35140697459093,False,101328.17543963264,False,0,0.0,85.0
SP +time,ConcCost,single,+time,-,5 expl,4,700006,40.0,4084.7846987515254,4084.7846987515254,631.8656140597905,631.8656140597905,3452.919084691735,31.93120752382681,77.87227754511066,False,103505.83461777904,False,0,0.0,90.0
SP -time,ConcCost,single,-time,-,5 expl,4,700006,40.0,4068.745253730413,4068.745253730413,615.826169038678,615.826169038678,3452.919084691735,31.889599587898132,78.01278240192882,False,102710.4938839936,False,0,0.0,85.0
