model,cost,arch,time_in_gp,pivot_type,protocol,train_seed,eval_seed,delay_h,yield_kg,yield_gated,delta_vs_recipe,delta_gated,recipe_yield_kg,final_P,max_viscosity,visc_exceed,max_Wt,wt_overflow,violation,paa_frac_out_of_band,pivot_h
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700003,60.0,2792.084824531391,2792.084824531391,-86.88676439550954,-86.88676439550954,2878.9715889269005,22.27302471164584,76.6602057984515,False,102965.91705560929,False,0,0.0217391304347826,115.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700004,60.0,2975.642546472858,2975.642546472858,399.69749315865283,399.69749315865283,2575.9450533142053,24.355386249635803,70.71761115124143,False,101471.88748736613,False,0,0.0243478260869565,115.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700005,60.0,3272.345556204931,3272.345556204931,-62.082702980520025,-62.082702980520025,3334.428259185451,26.98514420915234,83.03741331105542,False,98490.73773283296,False,0,0.0,110.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700006,60.0,3615.686602950309,3615.686602950309,427.50148770919486,427.50148770919486,3188.185115241114,29.64802398809772,76.12761760807531,False,99117.15270617614,False,0,0.0,115.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700007,60.0,3104.9658204510997,3104.9658204510997,406.97670552349064,406.97670552349064,2697.989114927609,25.27109070369529,73.29021741287016,False,100961.435508233,False,0,0.0,115.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700008,60.0,3107.8191123193255,3107.8191123193255,389.34403031136935,389.34403031136935,2718.475082007956,24.947026350118342,70.79976336464456,False,103500.28740918028,False,0,0.0243478260869565,120.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700009,60.0,3176.2336956061304,3176.2336956061304,393.97869933940046,393.97869933940046,2782.25499626673,25.31080490363535,73.4275265003488,False,104533.13221625167,False,0,0.0104347826086956,115.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700000,80.0,2757.71225534691,2757.71225534691,240.50208528918438,240.50208528918438,2517.2101700577255,24.030347647963776,72.06618638073257,False,96452.49984954686,False,0,0.0121739130434782,130.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700001,80.0,2701.8234487271625,2701.8234487271625,-35.12234870797738,-35.12234870797738,2736.94579743514,22.418118189235056,70.56835238238668,False,101503.33751381988,False,0,0.02,140.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700002,80.0,2722.0565933282674,2722.0565933282674,-29.420365163667157,-29.420365163667157,2751.4769584919345,23.284996749816987,82.14578333394606,False,92623.272060858,False,0,0.0,120.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700003,80.0,2787.471948855147,2787.471948855147,171.32463829332573,171.32463829332573,2616.147310561821,23.820051882782924,71.54475785244948,False,99022.928777524,False,0,0.0217391304347826,130.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700004,80.0,2610.930664297793,2610.930664297793,292.04078072382026,292.04078072382026,2318.889883573973,22.40896953243558,67.1657683836601,False,97541.18171415685,False,0,0.0243478260869565,130.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700005,80.0,2783.4995106534207,2783.4995106534207,-198.62611026567038,-198.62611026567038,2982.125620919091,23.87664908460619,80.83238357105763,False,94474.50727051994,False,0,0.0,125.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700006,80.0,3183.311868161274,3183.311868161274,321.7267765193892,321.7267765193892,2861.585091641885,27.39076162006497,72.13415993616393,False,94791.87847746536,False,0,0.0,125.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700007,80.0,2756.8770219642047,2756.8770219642047,302.6364574800764,302.6364574800764,2454.2405644841283,23.442759398710184,69.26788586307285,False,96930.3494305675,False,0,0.0,130.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700008,80.0,2755.6030175561164,2755.6030175561164,288.3307606030753,288.3307606030753,2467.272256953041,23.220150742925608,66.50197269255163,False,98662.943285961,False,0,0.0243478260869565,140.0
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,4,700009,80.0,2774.13233950658,2774.13233950658,278.99458001921903,278.99458001921903,2495.137759487361,23.18954245138108,68.98495877389962,False,99908.46302689936,False,0,0.0104347826086956,130.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700000,0.0,3499.6818286577727,3499.6818286577727,32.35292639294812,32.35292639294812,3467.3289022648246,27.357336788265982,83.49030643392186,False,101734.75685288712,False,0,0.0113043478260869,55.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700001,0.0,3716.482307939119,3716.482307939119,142.5830972522681,142.5830972522681,3573.899210686851,28.22582667445884,73.24318502503438,False,107086.34646309816,False,0,0.0191304347826086,60.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700002,0.0,3629.52338021737,3629.52338021737,-67.09484306918239,-67.09484306918239,3696.618223286552,29.48065934387484,93.12337989581523,False,99101.9033529974,False,0,0.0,55.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700003,0.0,3667.497880537297,3667.497880537297,140.90928038787524,140.90928038787524,3526.588600149422,27.60265799285047,76.66039138243029,False,106513.27072588734,False,0,0.02,65.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700004,0.0,3212.554379037966,3212.554379037966,-1.9522277193318587,-1.9522277193318587,3214.506606757298,24.64412278354884,82.48332002209168,False,103201.14847932584,False,0,0.0234782608695652,55.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700005,0.0,4278.139489064008,4278.139489064008,156.14461832450797,156.14461832450797,4121.9948707395,33.74282552311159,85.6074182570258,False,101960.09735979524,False,0,0.0,55.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700006,0.0,4111.310396837382,4111.310396837382,125.55218809829285,125.55218809829285,3985.758208739089,31.49220972562511,84.72916436866036,False,101808.57677928316,False,0,0.0,55.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700007,0.0,3339.9334138904223,3339.9334138904223,-15.26589295136182,-15.26589295136182,3355.199306841784,25.72692512421865,83.30584943060204,False,102160.42183992449,False,0,0.0,55.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700008,0.0,3431.349451406272,3431.349451406272,127.52145603235249,127.52145603235249,3303.8279953739193,25.385879270156057,75.28926394522178,False,106865.27007806812,False,0,0.0234782608695652,65.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700009,0.0,3517.289399520645,3517.289399520645,128.49909610189889,128.49909610189889,3388.790303418746,26.026832189133103,76.75498816364546,False,107544.94572572468,False,0,0.0095652173913043,65.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700000,20.0,3399.6983851860787,3399.6983851860787,151.38794399365088,151.38794399365088,3248.310441192428,27.33412141536052,79.1548914900967,False,99514.66550393427,False,0,0.0113043478260869,70.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700001,20.0,3557.9899706742226,3557.9899706742226,157.1356774971091,157.1356774971091,3400.8542931771135,28.104959800928633,70.7014938000447,False,103815.03007266633,False,0,0.0191304347826086,80.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700002,20.0,3765.1621754855014,3765.1621754855014,178.27191334687996,178.27191334687996,3586.8902621386214,30.87161085471853,85.70327228323754,False,95633.9929345886,False,0,0.0,70.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700003,20.0,3515.42584344435,3515.42584344435,181.93368794716025,181.93368794716025,3333.4921554971897,27.5495751863942,73.61777680494627,False,103229.87751419672,False,0,0.0208695652173913,80.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700004,20.0,3150.5777708648498,3150.5777708648498,129.6926183524829,129.6926183524829,3020.885152512367,24.73543448572829,77.49885067262166,False,101269.21540061668,False,0,0.0243478260869565,70.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700005,20.0,4109.443474850004,4109.443474850004,231.09543335505714,231.09543335505714,3878.348041494947,33.66543069515139,82.08163162192497,False,97975.02695350384,False,0,0.0,75.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700006,20.0,3957.000123869278,3957.000123869278,233.15557627335738,233.15557627335738,3723.8445475959206,31.26026840034779,81.13784807652691,False,99317.65861459143,False,0,0.0,70.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700007,20.0,3283.758424540799,3283.758424540799,160.63910778566515,160.63910778566515,3123.1193167551337,25.85416508423889,78.30167739899613,False,100341.35169684862,False,0,0.0,70.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700008,20.0,3253.78879246976,3253.78879246976,146.58764278573335,146.58764278573335,3107.201149684027,25.04936283166921,72.51384077848155,False,103638.5437072932,False,0,0.0243478260869565,80.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700009,20.0,3347.9801794417945,3347.9801794417945,157.36184182579427,157.36184182579427,3190.618337616,25.80611110309202,73.90529151397887,False,104056.70063703628,False,0,0.0104347826086956,80.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700000,40.0,3236.38469588272,3236.38469588272,219.20308377663196,219.20308377663196,3017.181612106088,26.854650239199223,76.25547733797237,False,97468.61811842029,False,0,0.0113043478260869,80.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700001,40.0,3459.4707296505057,3459.4707296505057,242.1317086107315,242.1317086107315,3217.3390210397743,28.161179176728623,67.69593203120418,False,101814.2978304542,False,0,0.0191304347826086,95.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700002,40.0,3599.646122374273,3599.646122374273,254.6024713205502,254.6024713205502,3345.043651053723,30.246783454889385,84.38198181572832,False,93784.8368664836,False,0,0.0,80.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700003,40.0,3376.580078885498,3376.580078885498,237.33014864894903,237.33014864894903,3139.249930236549,27.368359402467313,70.80163740608718,False,100521.23589269436,False,0,0.0208695652173913,95.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700004,40.0,2988.165124848588,2988.165124848588,190.8095342754832,190.8095342754832,2797.355590573105,24.21939283838361,74.67157499806638,False,99196.24648942376,False,0,0.0243478260869565,80.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700005,40.0,3920.703004238605,3920.703004238605,308.49130345698677,308.49130345698677,3612.211700781618,33.07616498368153,79.56741991065658,False,95964.56744325648,False,0,0.0,85.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700006,40.0,3760.897332401677,3760.897332401677,307.978247709942,307.978247709942,3452.919084691735,30.5939572679746,77.35852905089187,False,97299.3143553061,False,0,0.0,85.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700007,40.0,3134.791647101384,3134.791647101384,222.5576570632511,222.5576570632511,2912.233990038133,25.392561668647815,75.15355308247553,False,98502.40058245209,False,0,0.0,80.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700008,40.0,3143.056385001756,3143.056385001756,217.6938195203379,217.6938195203379,2925.362565481418,24.98079157622297,69.86677357317299,False,100989.81810434393,False,0,0.0243478260869565,95.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700009,40.0,3216.8302031527255,3216.8302031527255,223.9567008317308,223.9567008317308,2992.8735023209947,25.589398801070494,71.25499780075207,False,101450.01157221288,False,0,0.0104347826086956,90.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700000,60.0,3044.633444045142,3044.633444045142,248.2033135549591,248.2033135549591,2796.430130490183,26.18314421589365,71.65704031740543,False,94961.04551059307,False,0,0.0113043478260869,100.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700001,60.0,3298.8024860049727,3298.8024860049727,263.8120964823611,263.8120964823611,3034.9903895226116,27.79137559170623,65.7976496575046,False,99290.32544459606,False,0,0.0191304347826086,120.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700002,60.0,3346.3700461527437,3346.3700461527437,273.9904244440536,273.9904244440536,3072.37962170869,28.96153598862098,82.55062920789916,False,91832.21034316458,False,0,0.0,95.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700003,60.0,3109.4371500267953,3109.4371500267953,230.46556109989479,230.46556109989479,2878.9715889269005,26.262831585910742,70.49332210772197,False,97388.24500677548,False,0,0.0208695652173913,115.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700004,60.0,2788.1221609487857,2788.1221609487857,212.17710763458035,212.17710763458035,2575.9450533142053,23.33993946397555,68.81645096412848,False,96695.92079044251,False,0,0.0243478260869565,100.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700005,60.0,3641.583252667041,3641.583252667041,307.1549934815898,307.1549934815898,3334.428259185451,31.77758005258731,78.66616444551853,False,93717.13439148852,False,0,0.0,100.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700006,60.0,3520.2119972229107,3520.2119972229107,332.0268819817966,332.0268819817966,3188.185115241114,29.606578505443064,73.13527067504856,False,94742.22981145632,False,0,0.0,100.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700007,60.0,2950.900723887594,2950.900723887594,252.91160895998473,252.91160895998473,2697.989114927609,24.69361815346437,69.35972368007738,False,96121.76846707806,False,0,0.0,100.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700008,60.0,2947.068947640588,2947.068947640588,228.5938656326316,228.5938656326316,2718.475082007956,24.2988698370426,66.02838738320303,False,98065.85922622072,False,0,0.0243478260869565,115.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700009,60.0,3013.971251378828,3013.971251378828,231.71625511209822,231.71625511209822,2782.25499626673,24.813415925808624,68.21716815463343,False,98748.81109879084,False,0,0.0104347826086956,115.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700000,80.0,2759.74596539553,2759.74596539553,242.53579533780476,242.53579533780476,2517.2101700577255,24.66890218244575,69.17747298525259,False,91800.88820097422,False,0,0.0113043478260869,125.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700001,80.0,2951.0104368949483,2951.0104368949483,214.0646394598084,214.0646394598084,2736.94579743514,25.951688516195045,64.4836585383409,False,95515.99153609332,False,0,0.0191304347826086,140.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700002,80.0,3036.8160064207013,3036.8160064207013,285.33904792876683,285.33904792876683,2751.4769584919345,27.13971703578109,78.81621920109248,False,89344.78094591424,False,0,0.0,115.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700003,80.0,2815.6960487056313,2815.6960487056313,199.54873814381017,199.54873814381017,2616.147310561821,24.69981918683651,67.52408190459447,False,93924.11671527804,False,0,0.0208695652173913,130.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700004,80.0,2529.7505173364843,2529.7505173364843,210.8606337625115,210.8606337625115,2318.889883573973,22.01254613242048,63.81221419612076,False,93404.18219517714,False,0,0.0243478260869565,125.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700005,80.0,3267.4800586441784,3267.4800586441784,285.35443772508734,285.35443772508734,2982.125620919091,29.50488733899815,75.35548636422101,False,91054.73358571171,False,0,0.0,120.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700006,80.0,3182.386233792708,3182.386233792708,320.8011421508231,320.8011421508231,2861.585091641885,27.823970267597815,70.28711529142063,False,91607.1302348915,False,0,0.0,120.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700007,80.0,2703.390962724583,2703.390962724583,249.1503982404547,249.1503982404547,2454.2405644841283,23.5249145720864,66.73670873408864,False,92772.32650364446,False,0,0.0,120.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700008,80.0,2690.8757117969108,2690.8757117969108,223.6034548438697,223.6034548438697,2467.272256953041,23.08224979677516,62.62456499769947,False,94475.9011638371,False,0,0.0243478260869565,130.0
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,4,700009,80.0,2703.4851726448906,2703.4851726448906,208.34741315752945,208.34741315752945,2495.137759487361,23.136955168706347,65.3632243907633,False,95215.1760020526,False,0,0.0104347826086956,125.0
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700000,0.0,3632.9686972665486,3632.9686972665486,165.639795001724,165.639795001724,3467.3289022648246,28.176467942342832,80.71532645540864,False,104819.66349915744,False,0,0.0113043478260869,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700001,0.0,4115.888804898039,4115.888804898039,541.989594211188,541.989594211188,3573.899210686851,30.642754053477613,75.99600166312294,False,112382.3335325519,False,0,0.0191304347826086,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700002,0.0,4045.303075756564,4045.303075756564,348.6848524700117,348.6848524700117,3696.618223286552,31.877130670911335,86.46946423781958,False,101342.60693264814,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700003,0.0,3939.756567312411,3939.756567312411,413.16796716298904,413.16796716298904,3526.588600149422,29.10313999933577,79.2728992390583,False,112522.75098393188,False,0,0.0208695652173913,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700004,0.0,3420.3203741073244,3420.3203741073244,205.8137673500264,205.8137673500264,3214.506606757298,25.761689769746443,79.1050473246928,False,107093.4565543474,False,0,0.0243478260869565,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700005,0.0,4392.622228603646,4392.622228603646,270.6273578641467,270.6273578641467,4121.9948707395,34.65417473047595,84.19774367986815,False,103812.8040098738,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700006,0.0,4320.485907045688,4320.485907045688,334.727698306599,334.727698306599,3985.758208739089,32.73157096122553,82.48714836347988,False,105125.92629705407,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700007,0.0,3624.6695700841487,3624.6695700841487,269.4702632423646,269.4702632423646,3355.199306841784,27.287677953793125,79.89769886484473,False,106469.6063899822,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700008,0.0,3692.101490388047,3692.101490388047,388.27349501412755,388.27349501412755,3303.8279953739193,26.76066375077469,77.96343030772599,False,112739.44430807488,False,0,0.0243478260869565,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700009,0.0,3776.3840927254782,3776.3840927254782,387.5937893067321,387.5937893067321,3388.790303418746,27.423386319309813,79.16231122418036,False,113088.5576432899,False,0,0.0104347826086956,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700000,20.0,3667.710150461359,3667.710150461359,419.399709268931,419.399709268931,3248.310441192428,28.631293704178443,80.70704606858851,False,106278.0235861998,False,0,0.0121739130434782,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700001,20.0,4100.862180604374,4100.862180604374,700.0078874272604,700.0078874272604,3400.8542931771135,31.020322181559635,75.61664421086232,False,112411.34610242557,False,0,0.02,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700002,20.0,3407.3679836336114,3407.3679836336114,-179.52227850501004,-179.52227850501004,3586.8902621386214,25.9129017198227,89.37442998525371,False,101505.92319232396,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700003,20.0,3543.9853876553684,3543.9853876553684,210.49323215817867,210.49323215817867,3333.4921554971897,26.087375159956807,78.34741805644705,False,111649.16955194827,False,0,0.0217391304347826,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700004,20.0,3431.679511977098,3431.679511977098,410.7943594647313,410.7943594647313,3020.885152512367,26.03179463608868,79.1670621002598,False,108421.89528985276,False,0,0.0243478260869565,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700005,20.0,4060.475759174005,4060.475759174005,182.1277176790577,182.1277176790577,3878.348041494947,31.65122718831523,84.60125363840126,False,104794.75504587096,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700006,20.0,4307.942928407383,4307.942928407383,584.0983808114624,584.0983808114624,3723.8445475959206,32.683024136866926,81.88621402707199,False,106806.9526261628,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700007,20.0,3634.384068763264,3634.384068763264,511.2647520081305,511.2647520081305,3123.1193167551337,27.40496261132708,79.6284705449684,False,108095.35717238604,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700008,20.0,3651.028943877168,3651.028943877168,543.827794193141,543.827794193141,3107.201149684027,26.787444905667947,77.1643942720719,False,113123.35441741478,False,0,0.0243478260869565,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700009,20.0,3750.3230218617855,3750.3230218617855,559.7046842457853,559.7046842457853,3190.618337616,27.491492660219475,78.2068050058753,False,113550.72851348257,False,0,0.0104347826086956,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700000,40.0,3744.52434069979,3744.52434069979,727.3427285937023,727.3427285937023,3017.181612106088,29.060498615736584,80.03640257911954,False,107517.82400803168,False,0,0.0121739130434782,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700001,40.0,3645.8805235789514,3645.8805235789514,428.54150253917715,428.54150253917715,3217.3390210397743,27.26532597822765,75.60718664654897,False,111432.3283704096,False,0,0.02,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700002,40.0,2824.340003970963,2824.340003970963,-520.7036470827597,-520.7036470827597,3345.043651053723,20.67648088207239,95.25999981074588,False,101098.24810098948,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700003,40.0,2999.603116303042,2999.603116303042,-139.64681393350702,-139.64681393350702,3139.249930236549,21.36700379917766,79.75439975244042,False,109327.71170083676,False,0,0.0217391304347826,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700004,40.0,3464.660823481411,3464.660823481411,667.3052329083062,667.3052329083062,2797.355590573105,26.37883593950566,78.2451685732401,False,108753.6133337864,False,0,0.0243478260869565,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700005,40.0,3373.0065471856888,3373.0065471856888,-239.20515359592946,-239.20515359592946,3612.211700781618,24.831090202144917,86.78045575694782,False,104303.77423916796,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700006,40.0,4111.590988346756,4111.590988346756,658.6719036550207,658.6719036550207,3452.919084691735,30.943463967053994,81.01440163489872,False,107277.3997080931,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700007,40.0,3624.970690763328,3624.970690763328,712.7367007251951,712.7367007251951,2912.233990038133,27.452818622972693,78.38724199808658,False,108503.575132489,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700008,40.0,3656.675070302311,3656.675070302311,731.3125048208926,731.3125048208926,2925.362565481418,27.10713237287137,75.11982660020375,False,111926.49234194212,False,0,0.0243478260869565,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700009,40.0,3732.995739633896,3732.995739633896,740.1222373129012,740.1222373129012,2992.8735023209947,27.618787958438297,77.3996748096095,False,112725.6361391966,False,0,0.0104347826086956,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700000,60.0,3490.171763692113,3490.171763692113,693.7416332019302,693.7416332019302,2796.430130490183,28.173372009621065,78.55883965649285,False,104605.39401311368,False,0,0.0121739130434782,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700001,60.0,3252.106317646067,3252.106317646067,217.11592812345543,217.11592812345543,3034.9903895226116,24.99272488917408,73.86803381487329,False,108349.95057905398,False,0,0.02,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700002,60.0,2231.9786538352855,0.0,-840.4009678734046,-3072.37962170869,3072.37962170869,16.04490588063506,108.91773588231814,True,98050.37022166936,False,1,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700003,60.0,2536.8892002001003,2536.8892002001003,-342.0823887268002,-342.0823887268002,2878.9715889269005,18.80120583325188,79.78164231858356,False,104878.5001455215,False,0,0.0217391304347826,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700004,60.0,3191.480324841243,3191.480324841243,615.5352715270378,615.5352715270378,2575.9450533142053,25.312247340261035,73.72159329061749,False,105358.62585495262,False,0,0.0243478260869565,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700005,60.0,2919.22576603656,2919.22576603656,-415.20249314889134,-415.20249314889134,3334.428259185451,21.861770874521532,87.86792170697926,False,101784.37598982237,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700006,60.0,3963.944223675708,3963.944223675708,775.759108434594,775.759108434594,3188.185115241114,31.186533380012023,78.92211967895493,False,104492.0706716475,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700007,60.0,3358.2563423420174,3358.2563423420174,660.2672274144084,660.2672274144084,2697.989114927609,26.445033410446182,76.11354792597099,False,105245.77162445636,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700008,60.0,3355.19247200538,3355.19247200538,636.7173899974237,636.7173899974237,2718.475082007956,26.00936044619787,73.11167464273557,False,107733.34005889896,False,0,0.0243478260869565,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700009,60.0,3449.4900782626346,3449.4900782626346,667.2350819959047,667.2350819959047,2782.25499626673,26.594237405318164,75.80500590450468,False,108725.41632690452,False,0,0.0104347826086956,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700000,80.0,3057.354967469624,3057.354967469624,540.1447974118987,540.1447974118987,2517.2101700577255,25.821577803511,75.05281726138077,False,100237.94529119453,False,0,0.0121739130434782,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700001,80.0,2851.133262942775,2851.133262942775,114.18746550763535,114.18746550763535,2736.94579743514,22.77886122834507,73.19128364781469,False,104541.87792123426,False,0,0.02,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700002,80.0,2586.364319490567,2586.364319490567,-165.11263900136737,-165.11263900136737,2751.4769584919345,20.497430880329933,85.59150386825466,False,95904.85258020095,False,0,0.0,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700003,80.0,2259.685156594457,2259.685156594457,-356.462153967364,-356.462153967364,2616.147310561821,17.455101902370252,79.15356342995351,False,100104.20454038386,False,0,0.0217391304347826,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700004,80.0,2832.4413140252746,2832.4413140252746,513.5514304513017,513.5514304513017,2318.889883573973,23.543031658257853,69.92323790789628,False,101003.53013190116,False,0,0.0243478260869565,
MassCost SP +time,MassCost,single,+time,-,5 expl,4,700005,80.0,2632.43919391631,2632.43919391631,-349.6864270027809,-349.6864270027809,2982.125620919091,20.83762101647804,85.47424687496813,False,97124.00186445832,False,0,0.0,
