batch,yield,final_penicillin_conc,max_penicillin_conc,mean_penicillin_conc,final_volume,mean_pH,mean_temperature,final_biomass,max_biomass,mean_biomass,final_weight,max_weight,mean_weight,max_viscosity,mean_viscosity,visc_soft_violation,visc_collapse,wt_soft_violation,wt_collapse,collapsed
37,3739.2251175492393,29.210765771883214,29.210765771883214,15.367853493412179,91065.91711367392,6.498086797021733,298.00522562877865,19.467384436811344,21.368417717784933,17.599652800915983,100337.9443999936,102420.20885137224,88261.1813367569,77.84601815959512,48.35640403940566,False,False,False,False,False
38,3742.599708439814,29.574995257034967,29.5755691104359,16.24126206856422,88486.05244318937,6.496878769659064,298.1210400175374,21.035203624668945,24.594613905096335,19.66746317996943,97338.49955585996,98944.37824847165,85758.762345948,85.93843006533234,52.826015396529385,True,False,False,False,False
39,3300.1024407674186,25.510756349350675,25.510756349350675,13.83543263014057,91478.61631648608,6.498058973900367,297.9837232231766,19.42680216062596,21.912434766359723,17.865775843816245,101379.49393822296,102693.3733407585,88586.00346688721,78.36565812437759,48.49602757399531,False,False,False,False,False
40,3869.7677058565746,30.8354299412125,30.8354299412125,15.738457947720681,89141.76837976773,6.499220571817456,298.0050599327517,21.31157430555411,23.796173681505103,18.47832650630456,98347.8136757314,101216.46721440039,87413.92575781682,81.52118077005566,49.6845903799143,True,False,False,False,False
41,3380.8562539957984,25.56315903838225,25.790081660972998,13.852507844199872,94151.51307585345,6.494833583239691,297.9749091512244,18.322867411128797,20.976418070317447,17.019407643673393,103014.9554110243,103332.28465079948,89110.5509753283,75.94147132600378,46.622918810500515,False,False,False,False,False
42,3691.991682421449,29.451175491242964,29.451175491242964,15.026047438199546,89606.52766382543,6.4979038936677815,297.99002785577176,20.878508936319765,22.49319876961422,18.134127922361568,97329.80582940383,99685.9089112712,85942.49355146069,79.09735209326884,48.72860865517413,False,False,False,False,False
43,3398.322009866865,26.919524816810082,26.919524816810082,14.544689780164765,88423.80178541633,6.498327552256919,298.00766027885066,20.899711746516267,23.990514233250806,18.99901568521828,100280.7126466047,101421.08879971331,88153.0058344318,82.88494285145686,50.91709456718903,True,False,False,False,False
44,3704.7909209983536,27.617709659684685,27.830574909076923,15.466790192948272,94219.58855713536,6.496079785574346,298.0207680366232,19.112548863906373,23.70510170946766,18.132380926566544,101665.31270215259,101665.31270215259,87219.83917965746,81.64689568451024,48.99273441760314,True,False,False,False,False
45,3271.585677800019,24.95521078888963,24.95521078888963,13.716811279369976,93015.757843814,6.4958194679935275,297.9839753136236,18.787113105650153,21.858220521683045,17.58289338234581,103033.40039354295,103033.40039354295,89181.28077290201,77.3493956302663,47.76350082337748,False,False,False,False,False
46,3413.1899639203953,25.989578026683194,26.031009878663212,14.383839320909848,92396.86772883782,6.496985578250591,297.9905334820959,19.151162880515187,22.74554721580287,18.02258275230986,101411.965001651,101411.965001651,87946.23800503126,79.5174106764166,48.59370027648552,False,False,False,False,False
47,2994.6057639625465,24.224124197940696,24.224124197940696,12.462359094738458,87525.31221147242,6.497153186989647,298.0396321675394,22.32218473623845,25.12942969915486,19.883579846240096,96621.6226776423,99273.88873927416,86053.93327543641,87.09351412281755,53.260017406029306,True,False,False,False,False
48,4183.105307707416,33.5574101251049,33.5574101251049,16.831402219454088,88831.86300918783,6.496157955650947,298.0150299311959,20.353119315629524,22.49738952808342,17.859928110412106,98484.7261892496,100798.12543416613,87148.02420429034,81.70751965936651,50.02330496848561,True,False,False,False,False
49,3214.7831143259455,25.125246830797636,25.125246830797636,13.601646779018061,90161.92694721525,6.498389054830602,297.9977032783764,20.69260197521551,23.423210018789078,18.751224863483284,99041.55376013748,100881.07492401557,87094.73607387918,81.30559371362469,50.051258312657694,True,False,False,False,False
50,3427.7933480034903,26.16331832766305,26.16331832766305,13.486218833802862,95069.66793825316,6.484409680497879,297.9797201014032,17.917567770477095,19.109316726635182,16.074731864507555,104546.3841753268,105913.60436077387,90796.63379265697,72.32048867834457,45.30125247753465,False,False,False,False,False
51,3550.854822444193,27.44899554246531,27.45051655738986,14.20930506034862,92894.45744492683,6.473713757192013,297.9750269125,19.042658131610498,20.795152464202914,16.781738309401067,101921.867970312,104132.89672872024,89463.21992984392,74.84425910276674,46.222384856038346,False,False,False,False,False
52,3437.201490037667,25.396004019349903,25.962223718868124,15.15770273681291,93536.30481981994,6.49194907560265,298.0744235376677,19.43313151546483,24.960545236822473,19.221505293401,101720.5894659133,101720.5894659133,86329.33120933028,84.44116570414955,51.42781807897001,True,False,False,False,False
53,3369.6562161312354,25.989330253630417,25.989330253630417,14.161137550358374,91860.55638739065,6.497255312689439,297.9996106111004,18.88268656794552,21.553297073041616,17.620614163364735,101592.78514003273,102162.7983459193,88285.53091836818,77.4271584926282,48.36499356013828,False,False,False,False,False
54,3245.4822735412913,25.100338861181843,25.100338861181843,13.19017785364536,92458.41978529602,6.496671393474823,297.9742784024679,19.091973637937,21.055630901151872,17.24437406976034,101319.1950016439,102987.65505049496,88500.4724372568,76.33879140633505,47.185570999810295,False,False,False,False,False
55,3592.051312262787,28.4429600739858,28.4429600739858,14.538935013313626,90529.98362272856,6.497393399754964,297.9903412362892,19.837908913917754,20.91939229112548,17.4553424612412,100257.28741741531,102872.99205942206,88380.19406035084,76.62048142668455,47.882432891571064,False,False,False,False,False
56,3452.163098701302,26.927493041424476,26.927493041424476,14.417602792977553,91155.66476563396,6.496144027554773,298.0022998054505,19.99032218296895,22.679327723850975,18.088557330411646,101068.56059548254,101835.69227021784,88521.15233778441,79.24622852451822,49.034036161784066,False,False,False,False,False
57,3029.105493577004,23.030830223180644,23.031428721194892,12.213950817283445,94274.12522960943,6.475365259156621,297.9795116988495,18.811879417344795,20.958053675338466,17.03828490867348,102832.24803679035,104050.21797037596,89663.21797979264,76.15632044313384,47.006116307144566,False,False,False,False,False
58,3195.455315760505,23.197788189236004,23.57308907967179,12.976007849988518,98364.27763242295,6.4374541025470515,297.98474044716835,16.82266164689743,20.117083778613967,16.418740821442057,106374.08669735614,106374.08669735614,89589.79807137403,74.778417359151,46.04022539809647,False,False,False,False,False
59,3718.706601480785,30.131635970376962,30.131635970376962,15.189666133941722,87675.52657279874,6.4987606972320835,297.9963040295506,21.965051859889346,23.964788493032714,18.890499394527776,97706.96407498633,101018.35153610886,87084.04438856988,82.15344534974855,50.511136299871524,True,False,False,False,False
60,3622.229948617374,28.41769322221474,28.452710751882936,15.084278391769773,90250.22263472425,6.498757334973169,298.0168250346816,20.043797005239757,22.368446325259537,18.174819518498285,98627.30940517543,100702.06342515357,86743.153444448,80.01884336880086,49.42531831595222,True,False,False,False,False
61,3470.050038439431,26.165243286334086,26.178330128837473,13.978071305707855,95271.01206165235,6.494395166661171,297.9655566909985,17.479015584547646,19.364495874266503,16.06753512355088,105212.55721489941,105887.26847693142,90889.92689461734,72.45072150354552,44.94191474549053,False,False,False,False,False
62,3734.36800563122,29.459460440560132,29.459460440560132,15.759511450238708,89110.70524800656,6.499199454231126,297.99961511633654,20.9806355160251,23.732928510322218,18.773454374581583,98195.07018407967,100452.87181818516,86900.69198577119,81.53793892130778,49.80120367999925,True,False,False,False,False
63,3546.6366880720807,28.43553953850088,28.473097101323376,15.255156692977113,87163.42461333967,6.497098190234014,298.09082210372594,22.115467255858917,25.921617614089747,20.281834327167456,96004.46958226601,98020.2764027433,84960.36892937697,88.65212089089053,54.04957850872404,True,False,False,False,False
64,3201.6469759629736,23.64657119672355,23.64657119672355,12.69503457928712,97356.20664356477,6.478302552553984,297.96595238512765,17.363795651403436,20.228494699951405,16.15529757089458,108314.8584736551,108314.8584736551,92745.92392854147,74.41957872775451,45.17239036006435,False,False,False,False,False
65,3132.7388370091094,24.101185210193073,24.101185210193073,12.20280465148889,93999.66529012121,6.494586587860088,297.96764525926693,19.51330241653322,21.41683029638133,16.96846394808778,102648.79477173873,104971.18627972837,90400.96504197261,76.02596612380052,46.43279990688655,False,False,False,False,False
66,3730.415673033723,29.786658219760238,29.786658219760238,15.543619057898706,88775.21662918344,6.497695936773237,298.0627382974963,20.600009313190647,23.69770495810427,19.036542269202428,96820.93484051774,98712.8566917105,85496.74304674755,84.47755589704461,51.999065602925825,True,False,False,False,False
67,3199.6896990414525,23.55408993601591,23.670876167143582,13.270907956678174,95993.87664498054,6.492946582881642,297.9745330311063,17.935931770113783,21.779475991506033,17.144519593013474,105174.37223609161,105174.37223609161,89273.88513405318,77.47423479673886,46.947296686554694,False,False,False,False,False
68,3025.781801821519,23.841556868688045,23.841556868688045,12.976720639235307,89513.3332246716,6.494544587108314,298.0572236948769,20.340621971599113,24.507064452560364,19.415668978795342,98900.11461099054,99179.11563409027,86376.75295645904,87.06950233919842,53.60209841079679,True,False,False,False,False
69,3667.2065687860168,27.49674478351667,27.49674478351667,14.567700493430413,96260.94532688364,6.42333123771734,297.96880386189366,16.867464003605004,18.538856782647755,15.5627857440289,106274.94409751036,106734.00219508336,91750.65676924924,71.18891020515372,44.17462942250272,False,False,False,False,False
70,3669.1390858632262,28.511066384324103,28.511066384324103,15.045127459341652,91763.61772409687,6.498085797957668,297.972028510261,19.771743388558622,21.742870153066022,17.43559774235686,100155.95902442417,102304.4910310828,88357.49004118721,76.59074725118455,46.89029152081636,False,False,False,False,False
71,3142.936513632845,23.71587983008563,24.157244855033447,13.768854750124692,91991.18568710555,6.4932398406702285,298.03919968794077,20.184019179454012,25.3494734903434,19.735865306957592,100488.89027135097,100488.89027135097,85942.89104578304,87.61069903456847,53.10756364388236,True,False,False,False,False
72,3406.5302580441835,26.298098760026843,26.398051760847743,14.256177537698136,91293.47469022802,6.498400288105323,297.99399132513565,19.185922214498966,22.21177504425053,17.92710049643242,100753.26918590741,101416.55170394115,87667.3405332157,79.62498918939424,48.99979867187507,False,False,False,False,False
73,3337.9194504217407,25.785438073194413,25.785438073194413,13.510079214662658,92790.18055637756,6.4953718467554316,297.982189484978,18.93677557562512,20.754182679622712,17.10407727369182,102124.62780952977,103815.97375239493,89214.19600222357,75.95142730199882,47.28775330949367,False,False,False,False,False
74,3944.4270563259893,30.139064153928224,30.213168222238163,17.17134456377788,91133.90985079092,6.497608801122371,298.03744072208985,19.49573595002383,23.847154114498206,18.793282796430923,99576.89335013885,99576.89335013885,86345.86187662194,82.53563723378439,50.57051344845122,True,False,False,False,False
75,3626.395347402594,28.516151675619348,28.620364350021216,15.909410933564514,88327.05018397183,6.498510071705774,298.0417240692448,20.995543735661535,24.3532213284934,19.522114213846443,98995.01109101632,100625.79206925572,87208.28395429111,83.70976924212134,51.638773402112136,True,False,False,False,False
76,2994.518570889665,22.390742272647778,22.390742272647778,12.202517424549752,96147.53299653769,6.480630136836551,297.97567826250815,17.93938616574371,20.284895950917356,16.836282530490106,104209.7782684467,104363.7401282856,89458.68683249343,73.97723310619344,46.489763688626866,False,False,False,False,False
77,3467.061220524943,27.00370726539397,27.00370726539397,13.845375387930213,92086.93080553539,6.495498615037468,297.9799220219581,19.433887551871628,21.212962424938937,17.177868246852817,101334.6794915699,103323.27581138918,89046.64754295904,76.8281600777509,47.28305795259806,False,False,False,False,False
78,3468.7829602615643,26.22601005000465,26.548623808744246,14.900946022159598,92767.85266702053,6.496790928678386,298.0147033417499,18.841137869011874,22.640866346396205,18.325854363166805,102150.66160700205,102150.66160700205,87862.07063568622,80.2678941590092,49.800837623653315,True,False,False,False,False
79,3480.8058589076777,27.446945684319157,27.446945684319157,14.822238271748562,88917.46005037715,6.497890524565533,298.064088899767,21.20626581579233,24.07738473274372,19.23685743863977,97308.02449573798,99553.33757821635,85984.83373433718,83.28969761117318,51.44859365918623,True,False,False,False,False
80,3876.066419364056,31.191516799386992,31.191516799386992,16.317724035233127,87987.12257402185,6.496541627507337,298.1213585356793,20.721022731823798,23.74446342380071,19.201214865587744,97393.32613941992,99447.3662364766,85872.02368345798,85.14286273652799,52.61673338619403,True,False,False,False,False
81,3293.6570510577644,24.762693556866832,25.007618409855553,13.838118503236764,93618.79686220412,6.494109569251916,297.97770564081895,18.92423839035129,22.406685803884315,17.772260464571385,103562.45851399198,103562.45851399198,88948.75259354014,78.70572619478382,48.064864499264054,False,False,False,False,False
82,3493.2532764000534,27.412032570941317,27.412032570941317,14.339419349274145,90814.6619302035,6.497912951593733,297.993198345865,19.837356588542363,21.795622172331083,17.728826106938694,99978.15052129421,101993.83806761664,88014.04656021266,78.17241166336622,48.415616487246,False,False,False,False,False
83,3671.681601433661,28.84062286865267,28.84062286865267,15.394486952179742,89902.7596539605,6.498085878122302,297.99633950389244,20.09576514512828,22.558274359239093,18.2274912656107,99256.83812482937,101196.13072917642,87363.95836706027,79.83787846346435,49.211904768913705,False,False,False,False,False
84,3181.426352748426,23.944968109734415,24.039613901982342,12.664387886468017,94798.89821218343,6.4642910498830455,297.99817363797746,19.723703585404166,23.389637392327167,17.559297864439863,103732.35276769688,104206.78761243269,90275.69985945996,79.02919309747357,47.30052952967004,False,False,False,False,False
