,yield,final_penicillin_conc,max_penicillin_conc,mean_penicillin_conc,final_volume,mean_pH,mean_temperature,final_biomass,max_biomass,mean_biomass,final_weight,max_weight,mean_weight,max_viscosity,mean_viscosity,visc_soft_violation,visc_collapse,wt_soft_violation,wt_collapse,collapsed
mean,3444.5228215251695,26.707426137853826,26.743776282140917,14.253181537488915,91747.58390141556,6.487524500090628,298.01174759175433,19.691827542514186,22.455739535882493,17.989872588166076,100934.299649732,102274.95306742731,88057.38066839149,79.50538616602442,48.92945165323792,0.47,0.0,0.01,0.0,0.0
std,273.1774553513011,2.6669007079892415,2.6436836915830004,1.252169586488626,3166.884793999495,0.039542150863765495,0.08113841208693708,1.4379522106546692,1.6866246342518356,1.0958090453472045,3023.672962289123,2411.4603846515533,1631.0899199502437,4.087376600730691,2.332450138567369,0.5016135580465918,0.0,0.09999999999999999,0.0,0.0
